Lat	Long	CID-S	RSRP-S	CID-N1	CID-N2	CID-N3	CID-N4	CID-N5	CID-N6	RSRP-N1	RSRP-N2	RSRP-N3	RSRP-N4	RSRP-N5	RSRP-N6
33.5912044	130.4184442	312.0	-91.8125	318.0						-103.375					
33.5912032	130.4184466	312.0	-92.1875	318.0						-103.875					
33.5912017	130.4184496	312.0	-92.9375	318.0						-105.875					
33.5911894	130.4184656	312.0	-93.0	318.0						-105.3125					
33.5911768	130.4184817	312.0	-93.0	318.0						-108.125					
33.5911645	130.4185014	312.0	-91.625	318.0						-102.125					
33.5911199	130.4185559	312.0	-88.8125	318.0						-102.125					
33.5911199	130.418556	312.0	-88.8125	318.0						-102.125					
33.5911088	130.4185751	312.0	-88.0625	318.0						-102.125					
33.5911073	130.4185775	312.0	-87.6875	318.0						-102.125					
33.591107	130.4185781	312.0	-87.5	318.0						-102.125					
33.5911057	130.41858	312.0	-87.5	318.0						-102.125					
33.5911049	130.4185811	312.0	-87.5625	318.0						-102.125					
33.5910879	130.4186038	312.0	-88.0625	318.0						-99.9375					
33.591063	130.4186339	312.0	-89.625	318.0						-101.9375					
33.5910532	130.4186437	312.0	-89.125	318.0						-101.4375					
33.5910438	130.4186532	312.0	-88.5	318.0	148.0					-100.3125	-100.625				
33.5910337	130.4186633	312.0	-88.5	318.0	148.0					-101.4375	-103.5				
33.5910168	130.4186821	312.0	-89.375	318.0	148.0					-101.875	-102.25				
33.5910089	130.4186915	312.0	-89.75	318.0	148.0					-101.3125	-102.0				
33.5910019	130.4187	312.0	-90.6875	318.0	148.0					-104.6875	-105.0625				
33.5909812	130.4187331	312.0	-95.875	318.0	148.0					-106.875	-109.0				
33.590978	130.4187408	312.0	-93.9375	148.0						-105.6875					
33.5909702	130.4187596	312.0	-91.3125	148.0						-105.6875					
33.5909696	130.418761	312.0	-90.875	148.0						-105.6875					
33.5909684	130.4187646	312.0	-90.5	148.0						-105.6875					
33.5909677	130.4187668	312.0	-90.1875	148.0						-105.6875					
33.5909674	130.4187676	312.0	-89.8125	148.0						-105.6875					
33.5909591	130.4187941	312.0	-91.375	148.0						-104.1875					
33.5909538	130.418811	312.0	-90.6875	148.0						-102.375					
33.5909462	130.4188537	312.0	-89.6875	148.0						-100.75					
33.5909447	130.4188656	312.0	-89.75	148.0						-100.3125					
33.5909431	130.4188782	312.0	-89.75	255.0	148.0					-100.375	-100.5				
33.5909401	130.4189024	312.0	-89.0	255.0	148.0					-99.875	-103.375				
