Lat	Long	CID-S	RSRP-S	CID-N1	CID-N2	CID-N3	CID-N4	CID-N5	CID-N6	RSRP-N1	RSRP-N2	RSRP-N3	RSRP-N4	RSRP-N5	RSRP-N6
33.5734869	130.371639	310	-102.625	82.0	32.0	135.0	268.0			-97.5	-104.25	-112.1875	-112.75		
33.5734941	130.3716354	310	-99.4375	82.0	32.0	268.0	135.0			-98.375	-103.5625	-112.0	-115.75		
33.5735002	130.3716323	310	-99.375	82.0	32.0	85.0	268.0	135.0		-98.1875	-102.5625	-109.75	-112.375	-113.8125	
33.5735167	130.3716278	310	-102.125	82.0	32.0	83.0	85.0	268.0		-100.5	-108.0625	-109.875	-110.5	-114.375	
33.5735223	130.3716278	310	-102.6875	82.0	32.0	83.0	85.0	268.0		-100.6875	-102.875	-108.3125	-111.4375	-112.875	
33.5735279	130.3716278	310	-103.9375	82.0	32.0	83.0	85.0	268.0		-98.6875	-102.4375	-108.3125	-113.1875	-114.5625	
33.5738487	130.371521	310	-101.5	82.0	83.0	269.0	85.0	268.0	276.0	-102.125	-109.9375	-114.5	-117.25	-117.8125	-117.9375
33.573854	130.371521	310	-102.6875	82.0	32.0	83.0	269.0	268.0		-103.25	-108.625	-110.0	-114.25	-116.625	
33.5738687	130.3715198	310	-96.5625	32.0	82.0	268.0	269.0			-103.3125	-104.625	-107.8125	-108.5		
33.573871	130.3715168	310	-98.1875	82.0	32.0	269.0	268.0			-103.0	-107.875	-110.625	-111.75		
33.573873	130.3715141	310	-98.8125	82.0	32.0	269.0	268.0	135.0		-103.0625	-108.8125	-111.3125	-111.875	-115.125	
33.5738775	130.3715081	310	-99.0	82.0	32.0	269.0	268.0	135.0		-101.0625	-111.0	-111.1875	-112.5625	-112.9375	
33.57388	130.371505	310	-100.4375	82.0	32.0	269.0	135.0	268.0		-100.5625	-108.8125	-110.8125	-114.375	-115.5	
33.5738834	130.3715015	310	-100.5	82.0	32.0	269.0	268.0	135.0		-102.6875	-112.4375	-114.6875	-115.5625	-117.875	
33.5738866	130.3714984	310	-99.1875	82.0	83.0	269.0	135.0	268.0		-104.375	-106.9375	-114.25	-116.375	-117.125	
33.5738985	130.3714851	310	-99.25	82.0	83.0	269.0	135.0	268.0		-102.6875	-108.75	-109.375	-110.1875	-111.875	
33.5739379	130.3714471	310	-102.875	82.0	32.0	163.0	269.0	268.0		-107.9375	-109.4375	-110.75	-113.1875	-115.3125	
33.5739412	130.3714441	310	-101.3125	82.0	32.0	163.0	269.0	268.0		-106.125	-109.125	-111.1875	-112.125	-115.5625	
